John Y. Campbell,Department of EconomicsHarvard University,National Bureau of Economic Research (NBER),Do the Rich Get Richer in the Stock Market? Evidence from India,Restoring Rational Choice: The Challenge of Consumer Financial Regulation,International Comparative Household Finance,Mortgage Market Design,An intertemporal CAPM with stochastic volatility,Consumer Financial Protection,A Model of Mortgage Default,Hard Times,Inflation Bets or Deflation Hedges? The Changing Risks of Nominal Bonds,Understanding Inflation-Indexed Bond Markets
Olivier Blanchard,Peter G. Peterson Institute for International Economics (IIE),,Public Debt and Low Interest Rates,Should We Reject the Natural Rate Hypothesis?,"Boom, slump, sudden stops, recovery, and policy options. Portugal and the Euro",Short-run effects of lower productivity growth. A twist on the secular stagnation hypothesis,The Phillips Curve: Back to the '60s?,"Currency Wars, Coordination, and Capital Controls",Jump-Starting the Euro-Area Recovery: Would a Rise in Core Fiscal Spending Help the Periphery?,"Are Capital Inflows Expansionary or Contractionary? Theory, Policy Implications, and Some Evidence",Labor market policies and IMF advice in advanced economies during the Great Recession,Growth Forecast Errors and Fiscal Multipliers
David E. Card,Department of EconomicsUniversity of California-Berkeley,National Bureau of Economic Research (NBER),Regression Kink Design: Theory and Practice,Firms and Labor Market Inequality: Evidence and Some Theory,"Management Practices, Workforce Selection, and Productivity",Can Tracking Raise the Test Scores of High-Ability Minority Students?,Inference on Causal Effects in a Generalized Regression Kink Design,"The Effect of Unemployment Benefits on the Duration of Unemployment Insurance Receipt: New Evidence from a Regression Kink Design in Missouri, 2003-2013",What Works? A Meta Analysis of Recent Active Labor Market Program Evaluations,"Bargaining, Sorting, and the Gender Wage Gap: Quantifying the Impact of Firms on the Relative Pay of Women",Nine Facts about Top Journals in Economics,Workplace Heterogeneity and the Rise of West German Wage Inequality
John List,Department of EconomicsUniversity of Chicago,"Social Policy Evaluation, Analysis and Research Centre (SPEAR)Research School of EconomicsCollege of Business and EconomicsAustralian National University",Toward an understanding of the development of time preferences: Evidence from field experiments,The Dozen Things Experimental Economists Should Do (More of),Do financial incentives crowd out intrinsic motivation to perform on standardized tests?,Learned generosity? An artefactual field experiment with parents and their children,"Gender, age, and competition: A disappearing gap?",From personalized exchange towards anonymous trade: A field experiment on the workings of the invisible hand,Scaling for Economists: Lessons from the Non-Adherence Problem in the Medical Literature,What Can We Learn from Experiments? Understanding the Threats to the Scalability of Experimental Results,To Replicate or Not To Replicate? Exploring Reproducibility in Economics through the Lens of a Model and a Pilot Study,Combining behavioral economics and field experiments to reimagine early childhood education
Richard Blundell,Department of EconomicsUniversity College London (UCL),Institute for Fiscal Studies (IFS),Income inequality and the labour market in Britain and the US,"Two Decades of Income Inequality in Britain: The Role of Wages, Household Earnings and Redistribution",Sharp for SARP: Nonparametric Bounds on Counterfactual Demands,Disability Benefit Receipt and Reform: Reconciling Trends in the United Kingdom,Comparing Retirement Wealth Trajectories on Both Sides of the Pond,Innovation and Top Income Inequality,"Children, Time Allocation, and Consumption Insurance",Earnings and Consumption Dynamics: A Nonlinear Panel Data Framework,"Labor income dynamics and the insurance from taxes, transfers, and the family",Labour supply and taxation with restricted choices
Carmen Reinhart,Kennedy School of GovernmentHarvard University,,The curious case of the missing defaults,Financial crises: past and future,"Global Cycles: Capital Flows, Commodities, and Sovereign Defaults, 1815-2015",From Financial Repression to External Distress: The Case of Venezuela,Does reserve accumulation crowd out investment?,Capital mobility and monetary policy: an overview,"The Pitfalls of External Dependence: Greece, 1829–2015",Dealing with Debt,The International Monetary Fund: 70 Years of Reinvention,The Antecedents and Aftermath of Financial Crises as Told by Carlos F. Díaz-Alejandro
Philippe Aghion,Centre for Economic Performance (CEP)London School of Economics (LSE),Paris School of Economics,Missing Growth from Creative Destruction,Artificial Intelligence and Economic Growth,"Schumpeterian growth theory, Schumpeter, and growth policy design",Entrepreneurship and growth: lessons from an intellectual journey,"Taxation, corruption, and growth",Creative Destruction and Subjective Well-Being,"Patent rights, product market reforms, and innovation",The Role of Bounded Rationality and Imperfect Information in Subgame Perfect Implementation—An Empirical Investigation,Innovation and Top Income Inequality,Incomplete Contracts and the Internal Organization of Firms
Robert F. Engle,"Finance Department
Stern School of Business
New York University (NYU)",National Bureau of Economic Research (NBER),SRISK: A Conditional Capital Shortfall Measure of Systemic Risk,Copula–Based vMEM Specifications versus Alternatives: The Case of Trading Activity,Large Dynamic Covariance Matrices,Structural GARCH: The Volatility-Leverage Connection,Testing macroprudential stress tests: The risk of regulatory risk weights,Systemic Risk in Europe,Semiparametric Vector Mem,The Factor--Spline--GARCH Model for High and Low Frequency Correlations,Asymmetric Dynamics in the Correlations of Global Equity and Bond Returns,A multiple indicators model for volatility using intra-daily data
Thomas Sargent,"Hoover Institution on War Revolution &amp; Peace
Stanford University",National Bureau of Economic Research (NBER),Short-Run and Long-Run Effects of Milton Friedman's Presidential Address,Fiscal Policy and Debt Management with Incomplete Markets,A case for incomplete markets,Fiscal discriminations in three wars,Wealth Dynamics in a Bond Economy with Heterogeneous Beliefs,Three types of ambiguity,Interest Rate Risk and Other Determinants of Post-WWII US Government Debt/GDP Dynamics,A Life-Cycle Model of Trans-Atlantic Employment Experiences,A Defense Of The Fomc,Inflation-Gap Persistence in the US
Ross Levine,Walter A. Haas School of BusinessUniversity of California-Berkeley,,Competition and Bank Liquidity Creation,Does the geographic expansion of banks reduce risk?,Corporate Resilience to Banking Crises: The Roles of Trust and Trade Credit,"Spare tire? Stock markets, banking crises, and economic recoveries",An Empirical Examination Of Patent Holdup,Insider Trading and Innovation,Competition and Bank Opacity,"Financial Development in 205 Economies, 1960 to 2010",Bank regulation and supervision in 180 countries from 1999 to 2011,Smart and Illicit: Who Becomes an Entrepreneur and Do They Earn More?
Barry Eichengreen,Department of EconomicsUniversity of California-Berkeley,,Are Capital Flows Fickle? Increasingly? And Does the Answer Still Depend on Type?,The Landscape of Economic Growth: Do Middle-Income Countries Differ?,Can countries rely on foreign saving for investment and economic development?,Managing Sudden Stops,The Global Productivity Slump: Common and Country-Specific Factors,RMBI or RMBR? Is the Renminbi Destined to Become a Global or Regional Currency?,Secular Stagnation: The Long View,Deflation and monetary policy,"International Currencies Past, Present, and Future: Two Views from Economic History",From Tapering to Tightening:The Impact of the Fed’s Exit on India
Jeffrey Wooldridge,Economics DepartmentMichigan State University,,Binary response panel data models with sample selection and self‐selection,A General Double Robustness Result For Estimating Average Treatment Effects,Does the precision and stability of value-added estimates of teacher performance depend on the types of students they serve?,What Are We Weighting For?,How do Principals Assign Students to Teachers? Finding Evidence in Administrative Data and the Implications for Value Added,Can Value-Added Measures of Teacher Performance Be Trusted?,Estimating panel data models in the presence of endogeneity and selection,Recent Developments in the Econometrics of Program Evaluation,Inverse probability weighted estimation for general missing data problems,"Inverse probability weighted M-estimators for sample selection, attrition, and stratification"
M Hashem Pesaran,Department of EconomicsUniversity of Southern California,Center for Applied Financial Economics (CAFE)University of Southern California,Mean group estimation in presence of weakly cross-correlated estimators,Tests of Policy Interventions in DSGE Models,"A One Covariate at a Time, Multiple Testing Approach to Variable Selection in High‐Dimensional Linear Regression Models",Oil prices and the global economy: Is it different this time around?,Is There a Debt-Threshold Effect on Output Growth?,Long-Run Effects in Large Heterogeneous Panel Data Models with Cross-Sectionally Correlated Errors,Country-specific oil supply shocks and the global economy: A counterfactual analysis,To Pool or Not to Pool: Revisited,A multi-country approach to forecasting output growth using PMIs,A multiple testing approach to the regularisation of large sample correlation matrices
Nicholas Cox,,,,,,,,,,,,
Paul Krugman,"Department of Economics
Princeton University","Woodrow Wilson School of Public and International Affairs
Princeton University","Agglomeration, integration and tax harmonisation",Globalization and the Inequality of Nations,"Technology, trade and factor prices",Globalization and the Inequality of Nations,"Immigration, investment, and real wages",Technology and the Life Cycle of Cities,"Integration, specialization, and adjustment",Trade policy and the Third World metropolis,Why have a target zone?,Increasing Returns and Economic Geography
Peter Nijkamp,Afdeling Ruimtelijke EconomieSchool of Business and EconomicsVrije Universiteit Amsterdam,Tinbergen Instituut,Wage gaps between native and migrant graduates of higher education institutions in the Netherlands,Industrial scope of agglomeration economies in Brazil,Does Cultural Diversity of Migrant Employees Affect Innovation?,Cultural Diversity and Cultural Distance as Choice Determinants of Migration Destination,"Innovation, Decentralization, and Planning in a Multi-Region Model of Schumpeterian Economic Growth",Infrastructure and the International Export Performance of Turkish Regions,Digital infrastructure and physical proximity,Spatial Heterogeneity in Hedonic House Price Models: The Case of Austria,The creative urban diaspora economy: a disparity analysis among migrant entrepreneurs,A Structural Equations Model for Assessing the Economic Performance of High-tech Ethnic Entrepreneurs
Ben S. Bernanke,Economic StudiesBrookings Institution,,International capital flows and the returns to safe assets in the United States 2003-2007,By the numbers: Data and measurement in community economic development,Welcoming remarks,Monetary Policy Alternatives at the Zero Bound: An Empirical Assessment,What Explains the Stock Market's Reaction to Federal Reserve Policy?,Monetary policy in a data-rich environment,"Is Growth Exogenous? Taking Mankiw, Romer, and Weil Seriously",Monetary policy and asset price volatility,The financial accelerator in a quantitative business cycle framework,The liquidity effect and long-run neutrality
Lawrence H. Summers,Harvard Business SchoolHarvard University,Kennedy School of GovernmentHarvard University,Jobs for the Heartland: Place-Based Policies in 21st-Century America,Secular Stagnation in the Open Economy,A Contagious Malady? Open Economy Dimensions of Secular Stagnation,The Permanent Effects of Fiscal Consolidations,Asia-phoria meet regression to the mean,How Globalization Affects Tax Design,Policymaking for posterity,Good policy or good luck?: Country growth performance and temporary shocks,Wealthier is Healthier,Taxation and the Structure of Labor Markets: The Case of Corporatism
Elhanan Helpman,Department of EconomicsHarvard University,,"Growth, Trade, and Inequality",Balanced Growth Despite Uzawa,Foreign Trade and Investment: Firm-level Perspectives,Sources of Wage Inequality,Trade and Inequality: From Theory to Estimation,A Linder Hypothesis for Foreign Direct Investment,"Income Distribution, Product Quality, and International Trade",International R&amp;D spillovers and institutions,Inequality and Unemployment in a Global Economy,"Labour Market Rigidities, Trade and Unemployment"
Alan B. Krueger,,,Disruptive Change in the Taxi Business: The Case of Uber,A Retrospective Look at Rescuing and Restructuring General Motors and Chrysler,The Evolution of Rotation Group Bias: Will the Real Unemployment Rate Please Stand Up?,A Contribution to the Empirics of Reservation Wages,The demand for health insurance among uninsured Americans: Results of a survey experiment and implications for policy,Analyzing the Extent and Influence of Occupational Licensing on the Labor Market,Alternative Measures of Offshorability: A Survey Approach,The Prevalence and Effects of Occupational Licensing,The Lot Of The Unemployed: A Time Use Perspective,What makes a homegrown terrorist? Human capital and participation in domestic Islamic terrorist groups in the U.S.A
Mark Gertler,Department of EconomicsNew York University (NYU),,What Happened: Financial Factors in the Great Recession,Wholesale Banking and Bank Runs in Macroeconomic Modeling of Financial Crises,Anticipated Banking Panics,Endogenous Technology Adoption and R&amp;D as Sources of Business Cycle Persistence,"Monetary Policy Surprises, Credit Costs and Economic Activity","Banking, Liquidity, and Bank Runs in an Infinite Horizon Economy",An Estimated Monetary DSGE Model with Unemployment and Staggered Nominal Wage Bargaining,Current Account Dynamics and Monetary Policy,Macroeconomic Modeling for Monetary Policy Evaluation,A Phillips Curve with an Ss Foundation
Robert W. Vishny,Booth School of BusinessUniversity of Chicago,,Asset Fire Sales and Credit Easing,"Neglected risks, financial innovation, and financial fragility",Financial Innovation and Financial Fragility,Unstable banking,Investor protection and corporate governance,Stock market driven acquisitions,The Quality of Government,A model of investor sentiment,Trust in Large Organizations,Law and Finance
Robert Hall,"Department of Economics
Stanford University","Hoover Institution on War Revolution &amp; Peace
Stanford University",Measuring Job-Finding Rates and Matching Efficiency with Heterogeneous Job-Seekers,Quantifying the Lasting Harm to the U.S. Economy from the Financial Crisis,Fiscal Stability of High-Debt Nations under Volatile Economic Conditions,The Long Slump,Diagnosing Consumer Confusion and Sub-optimal Shopping Effort: Theory and Mortgage-Market Evidence,By How Much Does GDP Rise If the Government Buys More Output?,The Burden of the Nondiversifiable Risk of Entrepreneurship,The labor market and macro volatility: a nonstationary general-equilibrium analysis,The Limited Influence of Unemployment on the Wage Bargain,Separating the business cycle from other economic fluctuations
Edward C. Prescott,Department of EconomicsW.P. Carey School of BusinessArizona State University,Research DepartmentFederal Reserve Bank of Minneapolis,Tarnishing the golden and empire states: Land-use restrictions and the U.S. economic slowdown,An aggregate model for policy analysis with demographic change,RBC Methodology and the Development of Aggregate Economic Theory,Equilibrium with mutual organizations in adverse selection economies,A Reassessment of Real Business Cycle Theory,Quid Pro Quo: Technology Capital Transfers for Market Access in China,On financing retirement with an aging population,The Labor Productivity Puzzle,Aggregate labor supply,The equity premium: A puzzle
Maurice Obstfeld,Department of EconomicsUniversity of California-Berkeley,,Revisiting the Economic Case for Fiscal Union in the Euro Area,Global Financial Cycles and the Exchange Rate Regime: A Perspective from Emerging Markets,International Monetary Relations: Taking Finance Seriously,A Tie That Binds: Revisiting the Trilemma in Emerging Market Economies,Trilemmas and Tradeoffs: Living with Financial Globalization,The Euro and the Geography of International Debt Flows,In Search of the Armington Elasticity,Never Say Never: Commentary on a Policymaker’s Reflections,On Keeping Your Powder Dry: Fiscal Foundations of Financial and Price Stability,Does the Current Account Still Matter?
Michael Woodford,Department of EconomicsSchool of Arts and SciencesColumbia University,,Noisy Memory and Over-Reaction to News,Monetary Policy Analysis When Planning Horizons Are Finite,Discrete adjustment to a changing environment: Experimental evidence,Quantitative easing and financial stability,Are Low Interest Rates Deflationary? A Paradox of Perfect-Foresight Analysis,Macroeconomic Analysis Without the Rational Expectations Hypothesis,Conventional and Unconventional Monetary Policy with Endogenous Collateral Constraints,Robustly optimal monetary policy in a microfounded New Keynesian model,Simple Analytics of the Government Expenditure Multiplier,Optimal target criteria for stabilization policy
James H. Stock,Department of EconomicsHarvard University,,Identification and Estimation of Dynamic Causal Effects in Macroeconomics Using External Instruments,The Disappointing Recovery of Output after 2009,Core Inflation and Trend Inflation,The Pass-Through of RIN Prices to Wholesale and Retail Fuels under the Renewable Fuel Standard,"Anticipation, Tax Avoidance, and the Price Elasticity of Gasoline Demand",Estimating turning points using large data sets,Modeling inflation after the crisis,Phillips curve inflation forecasts,Why Has U.S. Inflation Become Harder to Forecast?,Heteroskedasticity-Robust Standard Errors for Fixed Effects Panel Data Regression
N. Gregory Mankiw,Department of EconomicsHarvard University,National Bureau of Economic Research (NBER),Friedman's Presidential Address in the Evolution of Macroeconomic Thought,An Exploration of Optimal Stabilization Policy,Imperfect Information and Aggregate Supply,Spreading the Wealth Around: Reflections Inspired by Joe the Plumber,Smart Taxes: An Open Invitation to Join the Pigou Club,Optimal Taxation in Theory and Practice,The Optimal Taxation of Height: A Case Study of Utilitarian Income Redistribution,A Letter to Ben Bernanke,The politics and economics of offshore outsourcing,Sticky Information in General Equilibrium
Kenneth French,"Economics Department
Dartmouth College",National Bureau of Economic Research (NBER),Investor Diversification and International Equity Markets,Were Japanese stock prices too high?,Disappearing Dividends: Changing Firm Characteristics Or Lower Propensity To Pay?,Forecasting Profitability and Earnings,Testing Trade-Off and Pecking Order Predictions About Dividends and Debt,,,,,
Raghuram G. Rajan,"Center for Research in Security Prices (CRSP)
Booth School of Business
University of Chicago","George J. Stigler Center for the Study of the Economy and the State
Booth School of Business
University of Chicago",The Anatomy of a Credit Crisis: The Boom and Bust in Farm Land Prices in the United States in the 1920s,"Illiquid Banks, Financial Stability, and Interest Rate Policy","Sovereign Debt, Government Myopia, and the Financial Sector",Constituencies and Legislation: The Fight Over the McFadden Act of 1927,Trade Credit Contracts,The Internal Governance of Firms,Land and Credit: A Study of the Political Economy of Banking in the United States in the Early 20th Century,The Credit Crisis: Conjectures about Causes and Remedies,"Aid, Dutch disease, and manufacturing growth",A Pragmatic Approach to Capital Account Liberalization
Alberto Alesina,"Department of Economics
Harvard University","Innocenzo Gasparini Institute for Economic Research (IGIER)
Università Commerciale Luigi Bocconi (Bocconi University)",What Do We Know about the Effects of Austerity?,Is Europe an Optimal Political Area?,Is it the “How” or the “When” that Matters in Fiscal Adjustments?,Technology and labor regulations: theory and evidence,Old and Young Politicians,Public Goods and Ethnic Diversity: Evidence from Deforestation in Indonesia,Culture and Institutions,Birthplace diversity and economic prosperity,Family Ties,Ethnic Inequality
Angus Deaton,Leonard D. Schaeffer Center for Health Policy and EconomicsUniversity of Southern California,Woodrow Wilson School of Public and International AffairsPrinceton University,What do self-reports of wellbeing say about life-cycle theory and policy?,Mortality and Morbidity in the 21st Century,Understanding and misunderstanding randomized controlled trials,"Measuring and Understanding Behavior, Welfare, and Poverty",Creative Destruction and Subjective Well-Being,"Suicide, Age, and Well-Being: An Empirical Investigation",Trying to Understand the PPPs in ICP 2011: Why Are the Results So Different?,Two Happiness Puzzles,Grandpa and the Snapper: The Well-Being of the Elderly Who Live with Children,The Financial Crisis and the Well-Being of America
Jeffrey Alexander Frankel,Kennedy School of GovernmentHarvard University,National Bureau of Economic Research (NBER),Systematic Managed Floating,The euro crisis: Where to from here?,Nominal GDP targeting for developing countries,Nominal GDP Targeting for Middle-Income Countries,Effects of speculation and interest rates in a “carry trade” model of commodity prices,Sustainable Cooperation In Global Climate Policy: Specific Formulas And Emission Targets,What Small Countries Can Teach the World,Politically Feasible Emissions Targets to Attain 460 ppm CO 2 Concentrations,Internationalization of the RMB and Historical Precedents,On graduation from fiscal procyclicality
Joshua Angrist,Economics DepartmentMassachusetts Institute of Technology (MIT),National Bureau of Economic Research (NBER),"Undergraduate Econometrics Instruction: Through Our Classes, Darkly",In a Small Moment: Class Size and Moral Hazard in the Italian Mezzogiorno,Leveraging Lotteries for School Value-Added: Testing and Estimation,Research Design Meets Market Design: Using Centralized Assignment for Impact Evaluation,Charters without Lotteries: Testing Takeovers in New Orleans and Boston,"Stand and Deliver: Effects of Boston's Charter High Schools on College Preparation, Entry, and Choice",The perils of peer effects,Semiparametric Estimates of Monetary Policy Effects: String Theory Revisited,The Elite Illusion: Achievement Effects at Boston and New York Exam Schools,Explaining Charter School Effectiveness
Dani Rodrik,Kennedy School of GovernmentHarvard University,National Bureau of Economic Research (NBER),What Do Trade Agreements Really Do?,Premature deindustrialization,"When Ideas Trump Interests: Preferences, Worldviews, and Policy Innovations",The future of economic convergence,Making Room for China in the World Economy,Diagnostics before Prescription,Growth after the Crisis,Second-Best Institutions,Understanding South Africa's economic puzzles,The social cost of foreign exchange reserves
Timothy Besley,Economics DepartmentLondon School of Economics (LSE),Suntory and Toyota International Centres for Economics and Related Disciplines (STICERD)London School of Economics (LSE),Prosocial Motivation and Incentives,Competition in public service provision: The role of not-for-profit providers,Profit with Purpose? A Theory of Social Enterprise,The logic of hereditary rule: theory and evidence,The Contributions of Angus Deaton,"Predation, Protection, and Productivity: A Firm-Level Perspective",Aspirations and the political economy of inequality,The Welfare Cost Of Lawlessness: Evidence From Somali Piracy,"Law, Regulation, and the Business Climate: The Nature and Influence of the World Bank Doing Business Project",Long-run impacts of land regulation: Evidence from tenancy reform in India
Lawrence F. Katz,Department of EconomicsHarvard University,National Bureau of Economic Research (NBER),Concentrating on the Fall of the Labor Share,Women Working Longer: Facts and Some Explanations,Can Online Learning Bend the Higher Education Cost Curve?,The Effects of Exposure to Better Neighborhoods on Children: New Evidence from the Moving to Opportunity Experiment,America's Jobs Challenges and the Continuing Role of the U.S. Department of Labor,The Value of Postsecondary Credentials in the Labor Market: An Experimental Study,"Long-Term Unemployment and the Great Recession: The Role of Composition, Duration Dependence, and Nonparticipation",Achieving Escape Velocity: Neighborhood and School Interventions to Reduce Persistent Inequality,Technical Change and the Relative Demand for Skilled Labor: The United States in Historical Perspective,Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity
Edward Ludwig Glaeser,"Department of Economics
Harvard University",National Bureau of Economic Research (NBER),The Spatial Mismatch between Innovation and Joblessness,Jobs for the Heartland: Place-Based Policies in 21st-Century America,The Economic Implications of Housing Supply,The political economy of transportation investment,Nowcasting the Local Economy: Using Yelp Data to Measure Economic Activity,Crowdsourcing City Government: Using Tournaments to Improve Inspection Accuracy,"Infrastructure, Incentives, and Institutions","What is different about urbanization in rich and poor countries? Cities in Brazil, China, India and the United States",A Real Estate Boom with Chinese Characteristics,Big Data And Big Cities: The Promises And Limitations Of Improved Measures Of Urban Life
Rangan Gupta,Department of EconomicsFaculty of Economic and Management SciencesUniversity of Pretoria,Institut de Préparation à l'Administration et à la Gestion (IPAG),Rise and fall of calendar anomalies over a century,The Impact of Jumps and Leverage in Forecasting the Co-Volatility of Oil and Gold Futures,Economic Policy Uncertainty and Herding Behavior Evidence from the South African Housing Market,The effect of global crises on stock market correlations: Evidence from scalar regressions via functional data analysis,Does global economic uncertainty matter for the volatility and hedging effectiveness of Bitcoin?,A wavelet analysis of the relationship between oil and natural gas prices,Spillover of mortgage default risks in the United States: Evidence from metropolitan statistical areas and states,Dynamic connectedness of uncertainty across developed economies: A time-varying approach,Firm-level political risk and asymmetric volatility,Macroeconomic Shocks and Changing Dynamics of the U.S. REITs Sector
Clive W. J. Granger,,,Fisheries Management Under Cyclical Population Dynamics,Nonstationarities in Stock Returns,"Time Series Analysis, Cointegration, and Applications",Common factors in conditional distributions for bivariate time series,Efficient market hypothesis and forecasting,Aggregation of space-time processes,Copycats and Common Swings: The Impact of the Use of Forecasts in Information Sets,Properties of nonlinear transformations of fractionally integrated processes,Occasional Structural Breaks and Long Memory,A bivariate causality between stock prices and exchange rates: evidence from recent Asianflu
Mark W. Watson,Department of EconomicsPrinceton University,,Identification and Estimation of Dynamic Causal Effects in Macroeconomics Using External Instruments,The Disappointing Recovery of Output after 2009,Core Inflation and Trend Inflation,Presidents and the US Economy: An Econometric Exploration,Measuring Uncertainty about Long-Run Predictions,Inflation and Unit Labor Cost,Estimating turning points using large data sets,Modeling inflation after the crisis,Low-frequency robust cointegration testing,Sectoral versus Aggregate Shocks: A Structural Factor Analysis of Industrial Production
Donald W. K. Andrews,Economics DepartmentYale University,Cowles Foundation for Research in EconomicsYale University,Inference based on many conditional moment inequalities,Gmm Estimation And Uniform Subvector Inference With Possible Identification Failure,Nonparametric inference based on conditional moment inequalities,Maximum likelihood estimation and uniform inference with sporadic identification failure,A Conditional-Heteroskedasticity-Robust Confidence Interval for the Autoregressive Parameter,Inference Based on Conditional Moment Inequalities,"Estimation and Inference With Weak, Semi‐Strong, and Strong Identification","Asymptotics for LS, GLS, and feasible GLS statistics in an AR(1) model with conditional heteroskedasticity",Inference for Parameters Defined by Moment Inequalities: A Recommended Moment Selection Procedure,Asymptotics for stationary very nearly unit root processes
