,Name,Institution1,Institution2
45,Joshua D Angrist ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
46,Dani  Rodrik ,"Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",
47,Timothy J. Besley ,"Economics Department, London School of Economics (LSE), London, United Kingdom",
48,Lawrence F. Katz ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
49,Edward Ludwig Glaeser ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
50,Rangan  Gupta ,"Department of Economics, Faculty of Economic and Management Sciences, University of Pretoria, Pretoria, South Africa",
51,Clive W. J. Granger †,,
52,Mark W. Watson ,"Department of Economics, Princeton University, Princeton, New Jersey (USA)",
53,Donald W. K. Andrews ,"Economics Department, Yale University, New Haven, Connecticut (USA)","Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)"
54,James  Poterba ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
55,Christopher F Baum ,"Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",
56,Christopher  Sims ,"Department of Economics, Princeton University, Princeton, New Jersey (USA)",
57,René M. Stulz ,"Department of Finance, Fisher College of Business, Ohio State University, Columbus, Ohio (USA)",
58,Drew  Fudenberg ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
59,Jerry A. Hausman ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
60,Stephen J  Turnovsky ,"Department of Economics, University of Washington, Seattle, Washington (USA)",
61,Tim  Bollerslev ,"Department of Economics, Duke University, Durham, North Carolina (USA)",
62,John Michael van Reenen ,"Centre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom",
63,Michael C. Jensen ,"Negotiations, Organizations and Markets Unit, Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)",
64,Robert J. Shiller ,"Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)",
65,Guido  Imbens ,"Graduate School of Business, Stanford University, Stanford, California (USA)",
66,Lars Peter Hansen ,"Department of Economics, University of Chicago, Chicago, Illinois (USA)",
67,Whitney  Newey ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
68,Peter A. Diamond ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
69,Paul  Milgrom ,"Department of Economics, Stanford University, Stanford, California (USA)",
70,Robert C. Merton ,"Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
71,Lars E. O. Svensson ,"Handelshögskolan i Stockholm, Stockholm, Sweden",
72,Emmanuel  Saez ,"Department of Economics, University of California-Berkeley, Berkeley, California (USA)",
73,George A. Akerlof ,"Department of Economics, University of California-Berkeley, Berkeley, California (USA)",
74,Guillermo A. Calvo ,"School of International and Public Affairs (SIPA), Columbia University, New York City, New York (USA)",
75,Michael  McAleer ,"Department of Finance, College of Management, Asia University, Wufeng, Taiwan",
76,Richard B. Freeman ,"Centre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
77,Martin  Eichenbaum ,"Department of Economics, Northwestern University, Evanston, Illinois (USA)",
78,Oded  Galor ,"Economics Department, Brown University, Providence, Rhode Island (USA)",
79,Luigi  Zingales ,"Booth School of Business, University of Chicago, Chicago, Illinois (USA)",
80,Martin  Ravallion ,"Economics Department, Georgetown University, Washington, District of Columbia (USA)",
81,Bruno S. Frey ,"Center for Research in Economics, Management and the Arts (CREMA), Basel/Zürich, Switzerland",
82,Abhijit Vinayak Banerjee ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
83,Ernst  Fehr ,"Institut für Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakutät, Universität Zürich, Zürich, Switzerland",
84,Paul Michael Romer ,"Economics Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",
85,Lawrence J. Christiano ,"Department of Economics, Northwestern University, Evanston, Illinois (USA)",
86,Paul A. Samuelson †,,
87,Jordi  Gali ,"Centre de Recerca en Economia Internacional (CREI), Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",
88,John  Haltiwanger ,"Department of Economics, University of Maryland, College Park, Maryland (USA)",
89,Manuel  Arellano ,"Centro de Estudios Monetarios y Financieros (CEMFI), Madrid, Spain",
90,Zvi  Griliches †,,
91,Simplice A Asongu ,"African Governance and Development Institute (AGDI), Yaoundé, Cameroun",
92,Richard H. Thaler ,"Booth School of Business, University of Chicago, Chicago, Illinois (USA)",
93,Avinash Kamalakar Dixit ,"Department of Economics, Princeton University, Princeton, New Jersey (USA)",
94,Francis X. Diebold ,"Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",
95,John B. Taylor ,"Department of Economics, Stanford University, Stanford, California (USA)","Hoover Institution on War Revolution &amp; Peace, Stanford University, Stanford, California (USA)"
96,James  Hamilton ,"Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",
97,Halbert  White †,,
98,Pierre  Perron ,"Department of Economics, Boston University, Boston, Massachusetts (USA)",
99,Ben  Jann ,,
100,Asli  Demirguc-Kunt ,"World Bank Group, Washington, District of Columbia (USA)",
101,Jean-Jacques  Laffont †,,
102,David  Autor ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
103,Alan  Auerbach ,"Robert D. Burch Center for Tax Policy and Public Finance, Department of Economics, University of California-Berkeley, Berkeley, California (USA)",
104,Esther  Duflo ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
105,William D. Nordhaus ,"Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)","Economics Department, Yale University, New Haven, Connecticut (USA)"
106,Frederic  Mishkin ,"Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",
107,Ricardo J. Caballero ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
108,David  Neumark ,"Department of Economics, University of California-Irvine, Irvine, California (USA)",
109,Andrew Kenan Rose ,"Economic Analysis &amp; Policy Group (EAP), Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",
110,Charles F. Manski ,"Department of Economics, Northwestern University, Evanston, Illinois (USA)","Institute for Policy Research (IPR), Northwestern University, Evanston, Illinois (USA)"
111,Soren  Johansen ,"Økonomisk Institut, Københavns Universitet, København, Denmark",
112,Robert G. King ,"Department of Economics, Boston University, Boston, Massachusetts (USA)",
113,John H. Cochrane ,"Hoover Institution on War Revolution &amp; Peace, Stanford University, Stanford, California (USA)",
114,Florencio  Lopez-de-Silanes ,"SKEMA Business School, Lille, France",
115,Mark R. Rosenzweig ,"Economic Growth Center, Economics Department, Yale University, New Haven, Connecticut (USA)",
116,Guido  Tabellini ,"Innocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi Bocconi, Milano, Italy",
117,Robert C. Feenstra ,"Economics Department, University of California-Davis, Davis, California (USA)",
118,Patrick  Kehoe ,"Department of Economics, Stanford University, Stanford, California (USA)",
119,Boyan  Jovanovic ,"Department of Economics, New York University (NYU), New York City, New York (USA)",
120,Gene  Grossman ,"International Economics Section, Department of Economics, Princeton University, Princeton, New Jersey (USA)",
121,Nicholas  Bloom ,"Department of Economics, Stanford University, Stanford, California (USA)",
122,Hans-Werner  Sinn ,"ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",
123,Rafael  La Porta ,"National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",
124,Hyun Song  Shin ,"Bank for International Settlements (BIS), Basel, Switzerland",
125,Marc J. Melitz ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
126,Janet  Currie ,"Department of Economics, Princeton University, Princeton, New Jersey (USA)","Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)"
127,Martin L. Weitzman †,,
128,James Alan Robinson ,"Harris School of Public Policy, University of Chicago, Chicago, Illinois (USA)",
129,Oliver D. Hart ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
130,George  Borjas ,"Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",
131,Jacques François Thisse ,"Center for Market Studies and Spatial Economics, Saint Petersburg Branch, National Research University Higher School of Economics, St. Petersburg, Russia",
132,Shang-Jin  Wei ,"Fanhai International School of Finance, Fudan University, Shanghai, China",
133,Sergio T Rebelo ,"Centre for Economic Policy Research (CEPR), London, United Kingdom",
134,Jeremy C. Stein ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
135,David Knudsen Levine ,"Department of Economics, Washington University in St. Louis, St. Louis, Missouri (USA)","Robert Schuman Centre for Advanced Studies (RSCAS), European University Institute, Firenze, Italy"
136,Stephen John Nickell ,"Economics Group, Nuffield College, Department of Economics, Oxford University, Oxford, United Kingdom","Department of Economics, Oxford University, Oxford, United Kingdom"
137,Sendhil  Mullainathan ,"Booth School of Business, University of Chicago, Chicago, Illinois (USA)",
138,Sherwin  Rosen †,,
139,Kenneth D. West ,"Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",
140,Daniel  Kahneman ,"Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)",
141,Michael P Keane ,"School of Economics, UNSW Business School, UNSW Sydney, Sydney, Australia",
142,Richard S.J. Tol ,"Department of Economics, Sussex Business School, University of Sussex, Brighton, United Kingdom",
143,Lutz  Kilian ,"Federal Reserve Bank of Dallas, Dallas, Texas (USA)",
144,Joshua  Aizenman ,"Department of Economics, University of Southern California, Los Angeles, California (USA)",
145,Alvin E. Roth ,"Department of Economics, Stanford University, Stanford, California (USA)",
146,Marianne  Bertrand ,"Booth School of Business, University of Chicago, Chicago, Illinois (USA)",
147,Campbell R. Harvey ,"Finance Area, Fuqua School of Business, Duke University, Durham, North Carolina (USA)","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
148,B. Douglas  Bernheim ,"Department of Economics, Stanford University, Stanford, California (USA)",
149,Thorsten  Beck ,"Cass Business School, City University, London, United Kingdom",
150,Robert J. Gordon ,"Department of Economics, Northwestern University, Evanston, Illinois (USA)",
151,William  Easterly ,"National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",
152,Milton  Friedman †,,
153,Eric S. Maskin ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
154,David  Romer ,"Department of Economics, University of California-Berkeley, Berkeley, California (USA)","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
155,Raj  Chetty ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
156,William J. Baumol †,,
157,Anthony Barnes Atkinson †,,
158,Alan S. Blinder ,"Griswold Center for Economic Policy Studies, Department of Economics, Princeton University, Princeton, New Jersey (USA)","Department of Economics, Princeton University, Princeton, New Jersey (USA)"
159,Julio J. Rotemberg †,,
160,Richard  Rogerson ,"Department of Economics, Princeton University, Princeton, New Jersey (USA)",
161,Allen N. Berger ,,
162,Rüdiger  Dornbusch †,,
163,Bennett  McCallum ,"Department of Economics, Tepper School of Business Administration, Carnegie Mellon University, Pittsburgh, Pennsylvania (USA)",
164,Daniel  Hamermesh ,"Institute of Labor Economics (IZA), Bonn, Germany",
165,Ariel  Pakes ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
166,David Isaac Laibson ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
167,Charles I. Jones ,"Graduate School of Business, Stanford University, Stanford, California (USA)",
168,James  Andreoni ,"Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",
169,Luc  Laeven ,"European Central Bank, Frankfurt am Main, Germany",
170,Sebastian  Edwards ,"Center for Global Management, Anderson Graduate School of Management, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",
171,Steven  Levitt ,"Department of Economics, University of Chicago, Chicago, Illinois (USA)",
172,Matthew O. Jackson ,"Department of Economics, Stanford University, Stanford, California (USA)",
173,Gordon  Hanson ,"Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",
174,Richard J. Zeckhauser ,"Mossavar-Rahmani Center for Business and Government, Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
175,David N. Weil ,"Economics Department, Brown University, Providence, Rhode Island (USA)",
176,Andrew J. Oswald ,"Department of Economics, University of Warwick, Coventry, United Kingdom","Institute of Labor Economics (IZA), Bonn, Germany"
177,Xavier  Gabaix ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
178,Claudia  Goldin ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
179,Anthony J. Venables ,"Oxford Centre for the Analysis of Resource-Rich Economies (OxCarre), Department of Economics, Oxford University, Oxford, United Kingdom",
180,Costas  Meghir ,"Economics Department, Yale University, New Haven, Connecticut (USA)",
181,Joel  Slemrod ,"Department of Business Economics and Public Policy, Ross School of Business, University of Michigan, Ann Arbor, Michigan (USA)","Economics Department, University of Michigan, Ann Arbor, Michigan (USA)"
182,Christopher A Pissarides ,"Economics Department, London School of Economics (LSE), London, United Kingdom","Department of Economics, Faculty of Economics and Management, University of Cyprus, Nicosia, Cyprus"
183,Bruce E. Hansen ,"Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",
184,Simon  Johnson ,"National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",
185,Laurence J. Kotlikoff ,"Department of Economics, Boston University, Boston, Massachusetts (USA)",
186,Darrell  Duffie ,"Graduate School of Business, Stanford University, Stanford, California (USA)",
187,Torsten  Persson ,"Institute for International Economic Studies (IIES), Stockholms Universitet, Stockholm, Sweden",
188,Edward  Lazear ,"Graduate School of Business, Stanford University, Stanford, California (USA)",
189,Michael David Bordo ,"Department of Economics, Rutgers University-New Brunswick, New Brunswick, New Jersey (USA)",
190,Mark E Schaffer ,"Department of Accountancy, Economics and Finance, School of Management and Languages, Heriot-Watt University, Edinburgh, United Kingdom",
191,Klaus F. Zimmermann ,"United Nations University-Maastricht Economic Research Institute of Innovation and Technology (UNU-MERIT), Maastricht, Netherlands",
192,David Malin Roodman ,,
193,Roland J. Benabou ,"Department of Economics, Princeton University, Princeton, New Jersey (USA)","Institute of Labor Economics (IZA), Bonn, Germany"
194,Xavier  Sala-i-Martin ,"Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",
195,Ilhan  Ozturk ,"İktisadi ve İdari Bilimler Fakültesi, Çağ Üniversitesi, Mersin, Turkey",
196,Larry G. Epstein ,"Department of Economics, Boston University, Boston, Massachusetts (USA)",
197,Geert  Bekaert ,"Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",
198,Sanford Jay Grossman ,,
199,Orley  Ashenfelter ,"Department of Economics, Princeton University, Princeton, New Jersey (USA)","Institute of Labor Economics (IZA), Bonn, Germany"
200,Friedrich Georg Schneider ,"Institut für Volkswirtschaftslehre, Johannes-Kepler-Universität Linz, Linz, Austria",
201,Stephen A. Ross †,,
202,Jushan  Bai ,"Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",
203,J. Vernon  Henderson ,"Department of Geography and Environment, London School of Economics (LSE), London, United Kingdom",
204,Martin  Shubik †,,
205,Kenneth J. Arrow †,,
206,Luigi  Guiso ,"Istituto Einaudi per l'Economia e la Finanza (EIEF), Roma, Italy",
207,Jose Alexandre Scheinkman ,"Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",
208,Jacob A. Mincer †,,
209,Peter  Howitt ,"Economics Department, Brown University, Providence, Rhode Island (USA)",
210,Jeremy  Greenwood ,"Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",
211,Urs  Fischbacher ,"Fachbereich Wirtschaftswissenschaften, Universität Konstanz, Konstanz, Germany",
212,Pierre  Pestieau ,"Center for Operations Research and Econometrics (CORE), École des Sciences Économiques de Louvain, Université Catholique de Louvain, Louvain-la-Neuve, Belgium",
213,Orazio  Attanasio ,"Department of Economics, University College London (UCL), London, United Kingdom",
214,John  Whalley ,"Department of Economics, University of Western Ontario, London, Canada",
215,Assaf  Razin ,"Foerder Institute for Economic Research, Eitan Berglas School of Economics, Tel Aviv University, Tel Aviv, Israel","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
216,Bengt  Holmstrom ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
217,Matthew  Rabin ,"Department of Economics, University of California-Berkeley, Berkeley, California (USA)",
218,Jonathan  Eaton ,"Department of Economics, Pennsylvania State University, State College, Pennsylvania (USA)",
219,Christian  Dustmann ,"Department of Economics, University College London (UCL), London, United Kingdom","Centre for Research and Analysis of Migration (CReAM), University College London (UCL), London, United Kingdom"
220,James  Tobin †,,
221,Bronwyn Hughes Hall ,"Max-Planck-Institut für Innovation und Wettbewerb, Max-Planck-Gesellschaft, München, Germany","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
222,Kevin M. Murphy ,"Department of Economics, University of Chicago, Chicago, Illinois (USA)",
223,Harald  Uhlig ,"Department of Economics, University of Chicago, Chicago, Illinois (USA)",
224,Xavier  Vives ,"IESE Business School, Universidad de Navarra, Barcelona, Spain",
225,Eric A. Hanushek ,"Hoover Institution on War Revolution &amp; Peace, Stanford University, Stanford, California (USA)",
226,Stephen  Machin ,"Centre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom",
227,Gianmarco I.P. Ottaviano ,"Dipartimento di Economia ""Ettore Bocconi"", Università Commerciale Luigi Bocconi, Milano, Italy",
228,Stephen James Redding ,"International Economics Section, Department of Economics, Princeton University, Princeton, New Jersey (USA)",
229,Steven N. Durlauf ,"Harris School of Public Policy, University of Chicago, Chicago, Illinois (USA)",
230,Jere Richard Behrman ,"Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",
231,Yongcheol  Shin ,"Department of Economics and Related Studies, University of York, York, United Kingdom",
232,Robert  Moffitt ,"Department of Economics, Johns Hopkins University, Baltimore, Maryland (USA)",
233,Richard  Baldwin ,"International Economics Section, The Graduate Institute of International and Development Studies, Genève, Switzerland",
234,Stephen P. Jenkins ,"Department of Social Policy, London School of Economics (LSE), London, United Kingdom",
235,W Kip Viscusi ,"Department of Economics, Vanderbilt University, Nashville, Tennessee (USA)",
236,Clement Allan Tisdell ,"School of Economics, University of Queensland, Brisbane, Australia",
237,David B. Audretsch ,"School of Public and Environmental Affairs, Indiana University, Bloomington, Indiana (USA)",
238,Vernon L. Smith ,"Economic Science Institute (ESI), Argyros School of Business and Economics, Chapman University, Orange, California (USA)",
239,William A. Brock ,"Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)","Economics Department, University of Missouri, Columbia, Missouri (USA)"
240,Martín  Uribe ,"National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)","Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)"
241,Peter H. Egger ,"Department of Management, Technology and Economics (D-MTEC), Eidgenössische Technische Hochschule Zürich (ETHZ), Zürich, Switzerland","KOF Swiss Economic Institute, Department of Management, Technology and Economics (D-MTEC), Eidgenössische Technische Hochschule Zürich (ETHZ), Zürich, Switzerland"
242,Lung-Fei  Lee ,"Department of Economics, Ohio State University, Columbus, Ohio (USA)",
243,Adam  Jaffe ,"Motu: Economic &amp; Public Policy Research, Wellington, New Zealand",
244,Gilles  Saint-Paul ,"Paris School of Economics, Paris, France",
245,Thomas  Lemieux ,"Vancouver School of Economics, University of British Columbia, Vancouver, Canada",
246,David F. Hendry ,"Department of Economics, Oxford University, Oxford, United Kingdom",
247,Stijn  Claessens ,"Bank for International Settlements (BIS), Basel, Switzerland",
248,Alan M. Taylor ,"Economics Department, University of California-Davis, Davis, California (USA)",
249,Daniel L. McFadden ,"Department of Economics, University of California-Berkeley, Berkeley, California (USA)","Leonard D. Schaeffer Center for Health Policy and Economics, University of Southern California, Los Angeles, California (USA)"
250,Uri  Gneezy ,"Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)","Rady School of Management, University of California-San Diego (UCSD), La Jolla, California (USA)"
251,Armin  Falk ,"briq Institute on Behavior and Inequality, Bonn, Germany",
252,Stephen  Morris ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
253,Charles  Engel ,"Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",
254,James  MacKinnon ,"Economics Department, Queen's University, Kingston, Canada",
255,Pierre  Chiappori ,"Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",
256,Andrew B. Bernard ,"Tuck School of Business, Dartmouth College, Hanover, New Hampshire (USA)",
257,Yves  Zenou ,"Department of Economics, Monash Business School, Monash University, Melbourne, Australia",
258,Frank Rafael Smets ,"European Central Bank, Frankfurt am Main, Germany",
259,Enrico  Moretti ,"Department of Economics, University of California-Berkeley, Berkeley, California (USA)",
260,Philip Richard Lane ,"Department of Economics, Trinity College Dublin, Dublin, Ireland","European Central Bank, Frankfurt am Main, Germany"
261,Robert M. Solow ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
262,Robert S. Pindyck ,"Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
263,Jess  Benhabib ,"Department of Economics, New York University (NYU), New York City, New York (USA)",
264,Pete  Klenow ,"Department of Economics, Stanford University, Stanford, California (USA)",
265,Thomas  Piketty ,"Paris School of Economics, Paris, France",
266,Randall  Wright ,"Department of Finance, Investment and Banking, School of Business, University of Wisconsin-Madison, Madison, Wisconsin (USA)","Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)"
267,Enrique G. Mendoza ,"Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",
268,David  McKenzie ,"Economics Research, World Bank Group, Washington, District of Columbia (USA)",
269,Robert M. Townsend ,"Department of Economics, University of Chicago, Chicago, Illinois (USA)","Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)"
270,James R. Markusen ,"Department of Economics, University of Colorado, Boulder, Colorado (USA)",
271,Jean Charles Rochet ,"Geneva Finance Research Institute (GFRI), Université de Genève, Genève, Switzerland",
272,Glenn  Ellison ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
273,Douglas  Gale ,"Department of Economics, New York University (NYU), New York City, New York (USA)",
274,Douglas W. Diamond ,"Booth School of Business, University of Chicago, Chicago, Illinois (USA)",
275,Willem Hendrik Buiter ,"School of International and Public Affairs (SIPA), Columbia University, New York City, New York (USA)","Maurice R. Greenberg Center for Geoeconomic Studies, Council on Foreign Relations, Washington, District of Columbia (USA)"
276,Finn E. Kydland ,"Tepper School of Business Administration, Carnegie Mellon University, Pittsburgh, Pennsylvania (USA)","Department of Economics, University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)"
277,Gary  Charness ,"Department of Economics, University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)",
278,James E. Anderson ,"Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",
